order_id,order_date,order_customer_id,order_status
1,2013-07-25,error,CLOSED
2,2013-07-25,256,PENDING_PAYMENT
3,2013-07-25,unknown,COMPLETE
4,2013-07-25,8827,CLOSED
5,2013-07-25,11318,COMPLETE
6,2013-07-25,7130,COMPLETE
7,2013-07-25,4530,COMPLETE
8,2013-07-25,2911,PROCESSING
9,2013-07-25,5657,PENDING_PAYMENT
10,2013-07-25,5648,PENDING_PAYMENT
11,2013-07-25,918,PAYMENT_REVIEW
12,2013-07-25,1837,CLOSED
13,2013-07-25,9149,PENDING_PAYMENT
14,2013-07-25,9842,PROCESSING
15,2013-07-25,2568,COMPLETE
16,2013-07-25,7276,PENDING_PAYMENT
17,2013-07-25,2667,COMPLETE
18,2013-07-25,1205,CLOSED
19,2013-07-25,9488,PENDING_PAYMENT
20,2013-07-25,9198,PROCESSING
21,2013-07-25,2711,PENDING
22,2013-07-25,333,COMPLETE
23,2013-07-25,4367,PENDING_PAYMENT
24,2013-07-25,11441,CLOSED
25,2013-07-25,9503,CLOSED
26,2013-07-25,7562,COMPLETE
27,2013-07-25,3241,PENDING_PAYMENT
28,2013-07-25,656,COMPLETE
29,2013-07-25,196,PROCESSING
30,2013-07-25,10039,PENDING_PAYMENT
31,2013-07-25,6983,PAYMENT_REVIEW
32,2013-07-25,3960,COMPLETE
33,2013-07-25,5793,PENDING_PAYMENT
34,2013-07-25,4189,PROCESSING
35,2013-07-25,4840,COMPLETE
36,2013-07-25,5649,PENDING
37,2013-07-25,5863,CLOSED
38,2013-07-25,11586,PROCESSING
39,2013-07-25,8214,PENDING
40,2013-07-25,12092,PENDING_PAYMENT
41,2013-07-25,8136,PENDING_PAYMENT
42,2013-07-25,9776,PENDING
43,2013-07-25,7776,PENDING_PAYMENT
44,2013-07-25,10500,PENDING
45,2013-07-25,2636,COMPLETE
46,2013-07-25,1549,ON_HOLD
47,2013-07-25,8487,PENDING_PAYMENT
48,2013-07-25,12186,PROCESSING
49,2013-07-25,1871,PENDING
50,2013-07-25,5225,CANCELED
51,2013-07-25,12271,CLOSED
52,2013-07-25,5126,PENDING_PAYMENT
53,2013-07-25,4701,PROCESSING
54,2013-07-25,10628,PENDING_PAYMENT
55,2013-07-25,2052,PENDING
56,2013-07-25,10519,COMPLETE
57,2013-07-25,7073,CLOSED
58,2013-07-25,9213,PENDING_PAYMENT
59,2013-07-25,11644,PENDING_PAYMENT
60,2013-07-25,8365,PENDING_PAYMENT
61,2013-07-25,4791,CLOSED
62,2013-07-25,9111,CLOSED
63,2013-07-25,1148,COMPLETE
64,2013-07-25,5579,PENDING_PAYMENT
65,2013-07-25,5903,COMPLETE
66,2013-07-25,1792,ON_HOLD
67,2013-07-25,1406,COMPLETE
68,2013-07-25,4320,PENDING
69,2013-07-25,2821,SUSPECTED_FRAUD
70,2013-07-25,11809,PENDING_PAYMENT
71,2013-07-25,8646,COMPLETE
72,2013-07-25,error,COMPLETE
73,2013-07-25,8504,PENDING_PAYMENT
74,2013-07-25,662,PENDING_PAYMENT
75,2013-07-25,2505,PENDING_PAYMENT
76,2013-07-25,6898,COMPLETE
77,2013-07-25,7915,PENDING_PAYMENT
78,2013-07-25,8619,PAYMENT_REVIEW
79,2013-07-25,7327,PENDING_PAYMENT
80,2013-07-25,3007,COMPLETE
81,2013-07-25,674,PROCESSING
82,2013-07-25,3566,PENDING_PAYMENT
83,2013-07-25,1265,COMPLETE
84,2013-07-25,6789,PROCESSING
85,2013-07-25,1485,PENDING
86,2013-07-25,6680,PENDING_PAYMENT
87,2013-07-25,3065,CLOSED
88,2013-07-25,3809,COMPLETE
89,2013-07-25,unknown,ON_HOLD
90,2013-07-25,9131,CLOSED
91,2013-07-25,8912,COMPLETE
92,2013-07-25,6932,COMPLETE
93,2013-07-25,2256,PENDING_PAYMENT
94,2013-07-25,11589,PROCESSING
95,2013-07-25,9032,COMPLETE
96,2013-07-25,8683,PENDING
97,2013-07-25,10784,PENDING
98,2013-07-25,5243,COMPLETE
99,2013-07-25,11542,PENDING_PAYMENT
100,2013-07-25,12131,PROCESSING
101,2013-07-25,5116,CLOSED
102,2013-07-25,8027,COMPLETE
103,2013-07-25,12256,PROCESSING
104,2013-07-25,7790,PENDING_PAYMENT
